N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr20:3051944	0.88	0.6	0.83	0.4	0.36	0.57	0.57	0.56	0.5	0.78	0.69	0.73	0	0	0.37	0.43	0.2	0	0.6	0.62	0	0.7	0.58	1	0.73	0.57	0.85	0.78	0	0.8	0	0.29	1	0	0.57	0	1	0.62	0.5	0.62	0.62	0.22	0.64	1	0.77	0.6	0.62	0.89	0.88	0.47	0.43	0.6	0.83	0.73	0	0.42	0.8	0.67	0.5	0	0.5	0.67	0.75	0.72	0.67	0.59	0.44	0.5	0.38	0.2	0.36	0.59	0	0.73	0.67	0.67	0.83	0.4	0.86	0.78	0	0.38	0.83	0	0	0.38	0.5	0.6	0	0.82	0.44	0.67	0.8	0.8	0	0	0.67	0.78	0.62	0	0	0.71	0.46	1	0.7	0.6	0.5	0.45	0	0.7	0.62	0	0	0.6	0.8	0.2	0	0	0.69	0.89	0	0	0.86	0.8	0.78	0.55	0.65	0
chr20:3200527	0	0	0	1	0	0	0.64	0	0	0	0	0	0.83	0	0.78	0.6	0	0	0.83	0.67	0.8	0.8	0	0.8	0.86	0	1	0	0	1	0	0.6	0	0	0	0	0.75	1	1	0	0.8	1	0	1	0.62	0.8	0.83	1	0.88	0.86	0	0	0	0.8	0.88	0	0	0.5	0	0	0	0.78	0.67	0.67	0.6	0.71	1	0	0	0	0	1	0	0.79	0	0	0.86	0.4	1	1	0	0	0	1	1	0.75	0.86	0.83	0	0.57	1	0.71	0	0.4	0.5	0	0	0	0.6	0	0	0	0.78	0	1	1	0	0.75	0	0.83	0.8	0	0.6	0	0	0	0	0	1	0.89	0.86	0	0	0.8	1	0.6	0.9	0
chr20:4569450	1	0	0	0.83	0	0.33	0	0	0.9	0	0.67	0.8	0.38	0	0.75	0	1	0	0.83	0.57	0	0.8	0	0	0.83	0.5	0.67	0.2	0	1	0	0	0	0	0.57	0.88	0.8	0	0	0	1	0.83	0.8	0	0.6	0.83	0	0.67	0.8	0.62	0.67	0.83	0.82	0	0.83	0	0	0	0	0	0	1	0	0.7	0	0	0.71	0.62	0.5	1	0.36	0.67	0	1	0.8	0.67	0	0.71	0.62	0.86	0.7	0.6	0.8	0	0	0.9	0.67	0.67	0	0.62	0.57	1	0.82	0	0.6	0	0.67	0.67	0	0	0	1	0.79	0.86	0.78	0.57	1	1	0.8	0.83	0.8	0	0	1	1	0.8	0	0	1	0	0.57	0.67	0.6	0.8	0	0.86	1	0
chr20:4759217	0.56	0.38	0	0	0	0	0.6	0	0	0.6	0	0.67	0.8	0.83	0.58	0	0.6	0	0.38	0.7	0	0.67	0.71	0.57	0	0.8	0.9	0.71	0.83	0.6	0	0	0.55	0	0	0.71	0	0	0	0.6	0	1	0	0.4	1	0.43	0.57	0.71	0.8	0.78	0	0.64	0.57	1	0.82	0	0.62	0.88	0	0	0	0	0	0.78	0	0.83	0	0.67	0	0	0.5	0.57	0	0.57	0	0	0	0.64	0	0.5	0.71	0	0	0	0	0.62	0.67	0.67	0	0.56	0.8	0.86	0	0.9	0.57	0	0.71	0	0.86	0.5	0	1	0.8	0	0.67	0.86	0.83	0.6	0	0.5	0	0	0	0	0	0.5	0	0	1	0.83	0.67	0	0.5	0.8	0	0.93	0.71	0
chr20:5070201	0.86	0	0.71	0	0.6	0	0.89	0	0.67	0	1	0.83	0	1	1	0	0.67	0	0.88	1	0	0.8	0	0	0	1	0.67	0	0	1	1	0	0	0	0	0	1	0	0	0	0.86	0.86	1	0.86	0	0.8	1	1	0	0	0.83	0	1	1	0.8	1	0	0	1	0	0	0	0	1	0	1	0.86	0	0	0	0.92	0.62	0	0.83	0	1	0	1	0.67	1	1	1	0	0	0	1	1	1	0	0.8	0	1	0.5	0.5	0.6	0	0	1	1	0	0	0	0	1	0.88	1	1	0.8	0.75	1	0	0	0	0	0.6	0	0	0	0.67	0	0.67	0	1	1	1	0.93	0.88	0
chr20:6141147	0.8	0	0.73	0.71	0.75	0.89	0.43	0.33	0	0	0.89	0.6	0.78	0.88	0.8	0	0.88	0	0.7	0.75	0	0.75	0	0.71	0.82	0.82	0.71	0.7	0.78	0.71	1	0	0.6	0.43	0.88	0	0	0.78	0.78	0.88	0.83	0.4	0.64	0.73	0.54	0.73	0.89	0.71	0.57	0.73	0.88	0.82	0.9	0.73	0.88	0.88	0	0.89	0.9	0.57	1	0.62	1	1	0.67	0.88	0.75	0.5	0.71	0.8	0.62	0.68	0.89	0.86	1	0.83	0	1	0	0.64	0.67	0.62	0.8	0.75	0.8	0.87	0.8	1	0	0.71	1	0.77	0.71	0.44	0.8	0	0.54	0.71	0.4	0.75	0.8	0.83	0.57	0.8	1	0.33	0.63	0.89	0.89	1	0.86	0	0	0.43	0.88	0	1	0	0.85	0.8	0.71	0.89	0.67	0.83	0.64	0.6	0.67	0
chr20:6416514	0.5	0.8	0.36	0.53	0.36	0.64	0.67	0.38	0.75	0	0.36	0.72	1	0	0.21	0.8	0.6	0.8	0.74	0.77	0.33	0.77	0.71	0.38	0.31	0.61	0.57	0.42	0.55	0.56	0.33	0.2	0.44	0.58	0.5	0.83	0.57	0.56	0.61	0.62	0.35	0.69	0.5	0.69	0.63	0.6	0.72	0.68	0.91	0.5	0.6	0.5	0.76	0.83	0.67	0.52	0.29	0.43	0.82	0.75	0.72	0.65	0.7	0.66	0.65	0.52	0.7	0.67	0.59	0.67	0.63	0.65	0.78	0.6	0.69	0.76	0.4	0.6	0.7	0.41	0.62	0.67	0.5	0.64	0.67	0.6	0.77	0.64	0.5	0.59	0.69	0.84	0.77	0.57	0.67	0.5	0.71	0.42	0.4	0.69	0.4	0.6	0.74	0.77	0.64	0.64	0.62	0.65	0.93	0.76	0.62	0.64	0.44	0.78	0.59	0.57	0.89	0.59	0.81	0.7	0.53	0.6	0.83	0.47	0.78	0.61	0.74	0.82
chr20:6627006	0.2	0.56	0	0.5	0.17	0.73	0.43	0.44	0.31	0.43	0.5	0.4	0.75	0.56	0.43	0.4	0.33	0	0.56	0.6	0.4	0.67	0.64	0.42	0.62	0.55	0.33	0.36	0	0.53	0.4	0	0.38	0.83	0	0	0.58	0.29	0.5	0.33	0.73	0.83	0.85	0.33	0.27	0.56	0.17	0.71	0.38	0.73	0.4	0.43	0.27	0.3	0.5	0.42	0.62	0.45	0.8	0.45	0.7	0.58	0.36	0.35	0.77	0.46	0.56	0.33	0.64	0.57	0.44	0.62	0.6	0.44	0.6	0.1	0	0.8	0.62	0.5	0.5	0.55	0.67	0.36	0.5	0.75	0.6	0.4	0.58	0.33	0.59	0.38	0.58	0.58	0.44	0.75	0.57	0.5	0.42	0	0	0.56	0.82	0.44	0.64	0.47	0.21	0.82	0.71	0.56	0.86	0	0.36	0.29	0.21	0.5	0	0.43	0.57	0.31	0.25	0.62	0.5	0.59	0.67	0.94	0.38	0
chr20:6940092	0.5	0.78	0.7	0.78	0.56	0.5	0.52	0.52	0.76	0.6	0.5	0.67	0.8	0.66	0.44	0.68	0.7	0.64	0.8	0.65	0.62	0.56	0.57	0.53	0.69	0.59	0.52	0.45	0.66	0.54	0.69	0.55	0.41	0.63	0.62	0.71	0.42	0.51	0.83	0.71	0.59	0.76	0.68	0.76	0.42	0.68	0.78	0.72	0.5	0.63	0.63	0.88	0.65	0.79	0.71	0.64	0.91	0.93	0.82	0.83	0.84	0.74	0.65	0.71	0.68	0.66	0.75	0.55	0.49	0.67	0.56	0.57	0.65	0.42	0.76	0.52	0.64	0.78	0.61	0.49	0.76	0.75	0.81	0.67	0.31	0.7	0.71	0.55	0.47	0.67	0.64	0.58	0.5	0.65	0.42	0.72	0.67	0.53	0.68	0.82	0.7	0.8	0.73	0.65	0.49	0.67	0.6	0.78	0.87	0.72	0.68	0.78	0.42	0.66	0.62	0.71	0.71	0.64	0.54	0.78	0.73	0.8	0.61	0.59	0.84	0.75	0.63	0.56
chr20:7094473	0.6	0.56	0.45	0.5	0.5	0.38	0.47	0.54	0.71	0.29	0.38	0.46	0.38	0.58	0.43	0.25	0.27	0.71	0.31	0.55	0.38	0.54	0.47	0.5	0.28	0.38	0.42	0.33	0.6	1	0.2	0.5	0.42	0.27	0.14	0.14	0.33	0	0.27	0.46	0.42	0.12	0.39	0.55	0.46	0.35	0.27	0.47	0.39	0.53	0.67	0.67	0.46	0.47	0.38	0.5	0.5	0.58	0.57	0.4	0.7	0.5	0.31	0.38	0.6	0.33	0.67	0.52	0.38	0.38	0.56	0.38	0.83	0.47	0.38	0.38	0.57	0.57	0.5	0.52	0.4	0.47	0.3	0.69	0.4	0.3	0.67	0.41	0.2	0.52	0.65	0.42	0.73	0.32	0.36	0.38	0.69	0.35	0.5	0.58	0.33	0.73	0.44	0.53	0.65	0.43	0.41	0.88	0	0.59	0.29	0	0.44	0.25	0.48	0.21	0.6	0.5	0.48	0.58	0.5	0.36	0.67	0.38	0.64	0.64	0.52	0.5
chr20:7714837	0.44	0.14	0.5	0.35	0.24	0.5	0.35	0.36	0.82	0.18	0.19	0.43	0.6	0.19	0.35	0.46	0.23	0.38	0.15	0.33	0.24	0.31	0.38	0.22	0.36	0.08	0.47	0.19	0.3	0.24	0.37	0.3	0.12	0.32	0.52	0.4	0.39	0.29	0.39	0.29	0.3	0.19	0.55	0.31	0.17	0.41	0.3	0.35	0.27	0.33	0.5	0.41	0.5	0.09	0.44	0.59	0.52	0.56	0.19	0.44	0.51	0.29	0.35	0.23	0.33	0.3	0.32	0.23	0.33	0.3	0.39	0.39	0.35	0.23	0.5	0.24	0.29	0.57	0.38	0.42	0.29	0.37	0.42	0.43	0.38	0.24	0.4	0.33	0.26	0.22	0.25	0.21	0.29	0.33	0.42	0.52	0.29	0.38	0.29	0.25	0.37	0.29	0.39	0.47	0.21	0.41	0.31	0.28	0.31	0.4	0.25	0.38	0.22	0.29	0.48	0.36	0.5	0.59	0.29	0.38	0.31	0.29	0.32	0.27	0.61	0.35	0.39	0.63
chr20:7932168	0.89	0.71	0.73	0.73	0.33	0.4	0.56	0.62	0.75	0	0.71	0.83	0.78	0.6	0.93	0.62	0.83	0	0.91	0.83	0	0.88	0.75	1	0.65	0.88	0.6	0.6	0	0.92	1	0	0.62	0.83	0.89	0.8	0.44	0.5	1	0.6	0.44	0.6	1	0.5	0.54	0.75	1	0.71	0.67	0.85	0.88	0.7	0.86	0.22	1	0.78	0.86	0.6	0.69	0	0.7	0.9	0.64	0.86	0.83	0.85	0.7	0.7	1	0.86	0.67	0.77	0	0.81	0.67	0.86	0	0.9	0.75	0.8	0.89	0.75	0.88	0	0	0.57	0.85	0.62	0.43	1	0.62	0.83	0.9	0.5	0	0	0.6	0.62	0.5	0.7	0	0.85	0.73	0.62	0.74	0.92	0.73	0.86	0.88	0.92	0	0.88	0.83	0.56	0.88	0.7	0	0.67	0.5	0.77	0.79	0.67	0.86	0.8	0	0.69	0.69	0.8
chr20:8540324	0.33	0.18	0.6	0.25	0.4	0	0.41	0.57	0.38	0.43	0.53	0.2	0.17	0.5	0.33	0.17	0.6	0.43	0.35	0.62	0.43	0.67	0.67	0.4	0.79	0.33	0.41	0.5	0.38	0.25	0.6	0.67	0.67	0	0.12	0.33	0.38	0.55	0.57	0.57	0.42	0.8	0.4	0.33	0.7	0.38	0.38	0.31	0.68	0.35	0.52	0.38	0.67	0.42	0.35	0.43	0.62	0.25	0.5	0.31	0.44	0.5	0.38	0.47	0.29	0.61	0.41	0.53	0.08	0.44	0.24	0.44	0.62	0.39	0.44	0.78	0	0.42	0.43	0.48	0.31	0.44	0.56	0.54	0.25	0.29	0.15	0.46	0.81	0.33	0.67	0.39	0.5	0.39	0.36	0.58	0.2	0.57	0.42	0.71	0.46	0.37	0.5	0.28	0.46	0.71	0.45	0.24	0.59	0.6	0.17	0.25	0	0.57	0.5	0.55	0	0.4	0.29	0.77	0.44	0.55	0.27	0.38	0.1	0.35	0.3	0
chr20:9468052	0.33	0.36	0.58	0.33	0.33	0.2	0.36	0	0.67	0	0.13	0.19	0.29	0	0.44	0.38	0.53	0.4	0.44	0.48	0.25	0.46	0.22	0.6	0.82	0.17	0.6	0	0.44	0.5	0.17	0	0.22	0.27	0.57	0.38	0.5	0.12	0.56	0.38	0.67	0.2	0.25	0.46	0.42	0.62	0.7	0.62	0.43	0.21	0.43	0.43	0.38	0.27	0.71	0.5	0.5	0.28	0.41	0.33	0.29	0.57	0.9	0.4	0.39	0.29	0.23	0.44	0	0.42	0.58	0.45	0.62	0.32	0.6	0.86	0.67	0.53	0.31	0.33	0.59	0.62	0.22	0.4	0	0.46	0.54	0.38	0.33	0.42	0.62	0.32	0.3	0	0.45	0.7	0.36	0.4	0.67	0.43	0	0.6	0.37	0.6	0.53	0.42	0.21	0.58	0.47	0.56	0.57	0	0.33	0.12	0.5	0.7	0	0.17	0.35	0.43	0.29	0.17	0.54	0.17	0.28	0.77	0.35	0.56
chr20:11676897	0.67	0.68	0.62	0.85	0.56	0.87	0.67	0.63	0.61	0.54	0.68	0.48	0.8	0.71	0.67	0.54	0.82	0.64	0.96	0.6	0.62	0.67	0.52	0.64	0.71	0.68	0.69	0.78	0.9	0.7	0.73	0.79	0.52	0.67	0.83	0.59	0.67	0.74	0.79	0.33	0.84	0.7	0.81	0.89	0.79	0.74	0.81	0.85	0.76	0.71	0.81	0.82	0.5	0.65	0.85	0.87	0.83	0.65	0.72	0.7	0.67	0.88	0.68	0.78	0.66	0.76	0.7	0.59	0.72	0.91	0.6	0.55	0.67	0.71	0.8	0.67	0.92	0.67	0.6	0.82	0.89	0.88	0.74	0.24	0.67	0.92	0.55	0.83	0.67	0.68	0.79	0.78	0.69	0.7	0.72	0.8	0.85	0.73	0.61	0.73	0.86	0.84	0.76	0.81	0.84	0.44	0.59	0.74	0.71	0.68	0.67	0.86	0.59	0.62	0.79	0.67	0.75	0.64	0.69	0.8	0.68	0.88	0.75	0.76	0.67	0.92	0.76	0.6
chr20:11838438	0.58	0.52	0.59	0.62	0.53	0.72	0.48	0.58	0.82	0.35	0.53	0.53	0.56	0.66	0.74	0.69	0.71	0.45	0.63	0.46	0.54	0.56	0.41	0.61	0.68	0.67	0.62	0.45	0.43	0.68	0.42	0.28	0.33	0.44	0.78	0.72	0.58	0.63	0.75	0.57	0.75	0.58	0.49	0.64	0.72	0.62	0.6	0.53	0.56	0.65	0.65	0.62	0.43	0.34	0.6	0.8	0.55	0.74	0.63	0.72	0.6	0.66	0.5	0.58	0.53	0.53	0.55	0.66	0.6	0.77	0.35	0.73	0.71	0.78	0.69	0.67	0.42	0.74	0.74	0.36	0.65	0.62	0.54	0.69	0.66	0.71	0.57	0.62	0.64	0.58	0.48	0.57	0.69	0.45	0.55	0.81	0.79	0.49	0.83	0.61	0.53	0.58	0.67	0.75	0.72	0.49	0.59	0.55	0.65	0.63	0.68	0.72	0.4	0.65	0.56	0.65	0.86	0.46	0.56	0.61	0.59	0.82	0.48	0.64	0.79	0.71	0.63	0.61
chr20:12012545	0.5	0.75	0.58	0.71	0.6	1	0.71	0.8	0.71	0.46	0.74	0.73	0.71	0.73	0.64	0.55	0.58	0	0.56	0.73	0	0.86	0.3	0.56	0.35	0.25	0.62	0.54	0.73	0.68	0.88	0.29	0.45	0.75	0.75	0.63	0.31	0.6	0.71	0.56	0.57	0.86	0.64	0.93	1	0.5	0.5	0.31	0.75	0.53	0.76	0.4	0.55	0.42	0.8	0.71	0.92	0.5	0.76	0.44	0.8	0.69	0.73	0.7	0.8	0.9	0.86	0.5	0.7	0.75	0.45	0.61	0.67	0.68	0.62	0.44	0	0.69	0.43	0.42	0.8	0.6	0.22	0.89	0	0.68	0.57	0.52	0.82	0.69	0.77	0.76	0.75	0.44	1	0.8	0.9	0.53	0.75	0.64	0.86	0.76	0.5	0.7	0.8	0.53	0.4	1	0.44	0.63	0.5	0.29	0.36	0.86	0.74	0.89	0	0.12	0.36	0.86	0.6	0.8	0.69	0.74	0.8	1	0.57	0
chr20:12979208	0.62	0.75	0.58	0.61	0.65	0.59	0.82	0.57	0.69	0.73	0.53	0.55	0.41	0.62	0.53	0.55	0.67	0.52	0.55	0.65	0.72	0.36	0.61	0.52	0.6	0.62	0.63	0.53	0.45	0.75	0.53	0.74	0.72	0.51	0.8	0.79	0.67	0.61	0.72	0.47	0.48	0.73	0.42	0.64	0.73	0.61	0.67	0.59	0.67	0.58	0.61	0.49	0.41	0.49	0.67	0.65	0.58	0.9	0.67	0.66	0.62	0.48	0.76	0.68	0.63	0.54	0.38	0.35	0.49	0.66	0.63	0.52	0.72	0.69	0.77	0.69	0.94	0.72	0.62	0.62	0.82	0.62	0.59	0.72	0.62	0.76	0.75	0.55	0.64	0.72	0.66	0.36	0.7	0.7	0.65	0.54	0.67	0.77	0.62	0.66	0.59	0.66	0.42	0.65	0.62	0.72	0.79	0.57	0.57	0.75	0.57	0.5	0.58	0.6	0.68	0.44	0.9	0.7	0.44	0.68	0.62	0.72	0.77	0.42	0.75	0.87	0.79	0.71
chr20:13262593	0.62	0.75	0.5	0.27	0.83	0.33	0.65	0.42	0.78	0.62	0.45	0.73	0.6	0.64	0.55	0.45	0.57	0	0.4	0.46	0.67	0.6	0.4	0.5	0.77	0.5	0.45	0.6	0.78	0.67	0.29	0	0.1	0.6	0.43	0.93	0.83	0.67	0.83	0.6	0.27	1	0.27	0.71	0.75	0.47	0.53	0.4	0.65	0.5	0.33	0.67	0.43	0.85	0.61	0.62	0.4	0.79	0.62	0.57	0.22	0.6	0.73	0.41	0.56	0.62	0.57	0.5	0.57	0.62	0.67	0.69	0	0.63	0.53	0.73	0	0.3	0.33	0.54	0.8	0.5	0	0.57	0.4	0.61	0.52	0.58	0.12	0.41	0.88	0.29	0.59	0.65	0.71	0.57	0.75	0.4	0.83	0.71	0	0.6	0.47	0.67	0.5	0.73	0.36	0.33	0.62	0.81	0.29	0.33	0.33	0.69	0.83	0	0	0	0.4	0.56	0.46	0.6	0.53	0.47	0.46	0.79	0.65	0
chr20:13953257	0.5	1	0.57	0.62	0.3	0.2	0	0.6	0.4	0.5	0.56	0	0	0.71	0.77	0	0	0	1	0.67	0	0.93	0	0	0	0	0.33	0	0.86	0.75	0	0	0	0	0	0	0.67	0	0.71	0	0	0.38	0.29	0.67	0.4	0.4	0.5	1	0.43	0	0.62	0	0.5	0.62	0	0.4	0	0.54	0.56	0	0	0.8	1	0.77	0.67	0.67	0.6	0.71	0.5	0.62	0.67	0.69	0	0.79	0.43	0	0	0.67	0.7	0.5	0	0.3	0	1	0	0.83	0	0	0.8	0	0.71	0.8	0.8	0.4	0.44	0	0	0.44	0.62	0	0	0.44	0.55	0.8	0.4	0.5	0.56	0.6	0.67	0.62	0	0	0	0	0.5	0	0	0	0.62	0	0.67	0.4	0.77	0.67	0.67	0.67	0.47	0
chr20:16434101	0.65	0.67	0.72	0.52	0.55	0.71	0.45	0.5	0.61	0.8	0.63	0.7	0.54	0.8	0.72	0.56	0.35	0.82	0.86	0.42	0.5	0.67	0.54	0.82	0.45	0.71	0.74	0.68	0.77	0.67	0.64	0.6	0.6	0.6	0.81	0.41	0.64	0.67	0.59	0.48	0.84	0.6	0.5	0.71	0.56	0.73	0.5	0.67	0.61	0.68	0.68	0.65	0.54	0.62	0.52	0.8	0.82	0.84	0.62	0.67	0.77	0.69	0.51	0.81	0.6	0.89	0.59	0.65	0.58	0.68	0.56	0.57	0.58	0.64	0.53	0.53	0.83	0.56	0.8	0.69	0.66	0.85	0.73	0.5	0.87	0.68	0.58	0.63	0.48	0.75	0.77	0.69	0.5	0.48	0.46	0.53	0.58	0.62	0.61	0.46	0.71	0.75	0.85	0.71	0.67	0.4	0.67	0.7	0.62	0.5	0.64	0.76	0.72	0.46	0.48	0.71	0.5	0.55	0.44	0.47	0.85	0.74	0.45	0.5	0.54	0.73	0.62	0.5
chr20:16701573	0.45	0.67	0.62	0.5	0.67	0.62	0.5	0.64	0.7	0.33	0.53	0.58	0.53	0.57	0.43	0.72	0.5	0.7	0.76	0.68	0.64	0.55	0.76	0.56	0.74	0.3	0.7	0.62	0.83	0.64	0.67	0.38	0.35	0	0.67	0.75	0.46	0.67	0.56	0.32	0.36	0.58	0.56	0.6	0.5	0.56	0.69	0.56	0.46	0.73	0.74	0.8	0.76	0.67	0.68	0.82	0.62	0.53	0.73	0.75	0.44	0.62	0.44	0.72	0.71	0.76	0.71	0.61	0.8	0.7	0.62	0.7	0.67	0.77	0.57	0.71	0.67	0.78	0.67	0.67	0.64	0.67	0.67	0.56	0	0.65	0.47	0.62	0.78	0.72	0.24	0.82	0.62	0.5	0.67	0	0.45	0.36	0.71	0.33	0.5	0.82	0.79	0.73	0.81	0.64	0.61	0.87	0.76	0.57	0.78	0.38	0.75	0	0.57	0.64	0	0.56	0.57	0.56	0.73	0.5	0.6	0.87	0.44	0.79	0.7	0.2
chr20:16749935	0.82	0.6	0.67	0.6	0.57	0.44	0.54	0.75	0.5	0.38	0.67	0.69	0.29	0.5	0.59	0.88	0.5	0	0.87	0.62	0	0.62	0.55	0.55	0.61	0.54	0.71	0.77	0.67	0.81	0.75	0	0.71	0.75	0.5	0.7	0.73	0.89	0.67	0.92	0.6	0.43	0.67	0.69	0.89	0.65	0.63	0.74	0.62	0.89	0.71	0.82	0.38	0.62	0.78	0.64	0.62	0.62	0.71	0.44	0.83	0.82	0.6	0.61	0.36	0.7	0.83	0.38	0.54	0.5	0.4	0.68	0.67	0.67	0.5	0.82	0.2	0.67	0.93	0.75	0.65	0.87	0.44	0.7	0.2	0.58	0.73	0.65	0.5	0.8	0.7	0.62	0.79	0.53	0.73	0.6	0.83	0.58	0.71	0.56	0.9	0.65	0.8	1	0.53	0.95	0.67	0.73	0.79	0.76	0.56	0.71	0.79	0.71	0.47	0.5	0	0.62	0.44	0.59	0.88	0.75	0.83	0.8	0.62	0.83	0.7	0.78
chr20:17443153	0.61	0.62	0.67	0.65	0.64	0.81	0.56	0.59	0.69	0.46	0.73	0.64	0.7	0.85	0.78	0.53	0.6	0.5	0.83	0.58	1	0.88	0.33	0.7	0.82	0.7	0.52	0.6	0.6	0.85	0.62	0.79	0.74	0.43	0.91	0.85	0.56	0.81	0.56	0.64	0.64	0.5	0.68	0.7	0.85	0.85	0.6	0.6	0.58	0.33	0.76	0.81	0.85	0.5	0.75	0.6	0.29	0.7	0.67	0.56	0.82	0.64	0.64	0.7	0.59	1	0.46	0.64	0.68	0.6	0.33	0.58	0.54	0.58	0.8	0.92	0.6	0.67	0.8	0.64	0.76	0.88	0.67	0.64	0.71	0.77	0.53	0.71	0.69	0.57	0.82	0.69	0.29	0.71	0.65	0.7	0.71	0.71	0.39	0.67	0.86	0.54	0.72	0.58	0.85	0.72	0.67	0.62	0.82	0.62	0.82	0.75	0.94	0.78	0.71	1	0.8	0.8	0.82	0.8	0.69	0.65	0.62	0.78	0.68	0.8	0.63	0.42
chr20:17878831	0.44	0.93	0.67	0.85	0	0.17	0.7	0	0.82	0	0	0.55	0	0.71	0	0	0.33	0.43	0	0.46	0.36	0.45	0.38	0	0.89	0.41	0.36	0	0	0.8	0.5	0.3	0.18	0.61	0.52	0.05	0.64	0.76	0	0	0.54	0.23	0	0.32	0.89	0	0.24	0	0.65	0.05	0.38	0	0.88	0.87	0	0.3	0.32	0.48	0	0	0.27	0.8	0.36	0.46	0.5	0.32	0.74	0.56	0	0.89	0.94	0.91	0.72	0	0.94	0	0	0.08	0	0	0.81	0.25	0.23	0.86	0	0.32	0.4	0.74	0	0	0	0.38	0.89	0.36	0.44	0.57	0.28	0.58	0.55	0.89	0.42	0	0.37	0.68	0	0.2	0.38	0.37	0.87	0.32	0.43	0.36	0.88	0.79	0.73	0.56	0.5	0.38	0.41	0.92	0.41	1	0.32	0	0.44	0.29	0.64	0.86
chr20:18904503	0.8	0	0.62	0	0	0.5	0.2	0.92	0.91	0.8	0	0.67	0.67	0.71	0.7	0	0.67	0	0.64	0.8	0	0	0.33	0	1	0	0.71	1	0	0	0	0	0	0.6	0.67	1	0.6	0.8	0	0.6	0	0.88	0.8	0	0.8	0.92	0	0.67	0	0.83	1	0.8	0.78	0.8	1	0	0	0.83	0.9	0	1	0.86	1	0.8	0.91	0.57	0.67	1	1	0	1	0.81	0	0.71	0	0	0	0	1	0.5	1	0	0.57	0.8	0	0.77	0.72	0.64	0	1	0.89	0.43	0.83	0.89	0	0	0.67	0.5	1	0	0	0.91	0.83	0	0.44	0.89	0	0	0.9	1	0	0	0	0	1	0	0	0	0.67	0	0.75	0	0.71	0.77	0.86	1	0.91	1
chr20:21640633	0.25	0	0.25	0.57	0.08	0.17	0.61	0.13	0.41	0.11	0.56	0.21	0.5	0.27	0.29	0.38	0.38	0.4	0.24	0.33	0	0.5	0.18	0.33	0.27	0.33	0.08	0.36	0	0.5	0.25	0	0.5	0.57	0.67	0.08	0.33	0.18	0.29	0.2	0.55	0.57	0.17	0.36	0.09	0.43	0.5	0.2	0.53	0.36	0.36	0.22	0.56	0.38	0.2	0.27	0.15	0.17	0.58	0.43	0.12	0.11	0.43	0.15	0.44	0.24	0.36	0.3	0.39	0	0.53	0.29	0.33	0.25	0.27	0	0	0.36	0.15	0.31	0.35	0.4	0	0.22	0	0.26	0.37	0.31	0.6	0.67	0.17	0.44	0.45	0.35	0.5	0.6	0.47	0.22	0.33	0.64	0	0.38	0.25	0.36	0.16	0.44	0.67	0.09	0.27	0.15	0.38	0	0.5	0.56	0.36	0.4	0	0	0.44	0.44	0	0.57	0.73	0.2	0.33	0.08	0.4	0
chr20:21796141	0.75	0.75	0.8	0.91	0.67	0.79	0.73	0.57	0.6	0.5	0.5	0.7	0.71	0.91	0.74	0.67	0.8	0.5	1	0.73	0.67	0.9	0.67	0.6	0.87	0.88	0.8	0.6	0	0.73	0.8	0.57	0.78	0.9	0.89	0.57	1	0.7	0	0.71	0.6	0.73	0.69	0.8	0.38	0.63	0.56	0.67	0.56	0.73	0.69	0.88	0.81	0.71	1	0.9	1	0.65	0.77	1	0.71	0.86	0.18	0.71	0.67	0.74	1	0.87	0.62	0	0.59	0.86	0	0.83	0.82	0.73	0.67	0.91	0.67	0.53	0.89	0.85	0.8	0.64	0.83	0.65	0.84	0.62	0.83	0.78	0.86	0.7	0.8	0.72	0.54	0.43	0.6	0.8	0.58	0.43	0	0.89	0.79	0.8	0.67	0.76	0.6	0.68	0.85	0.6	0.67	0	0.5	0.67	0.71	0.56	0	0.67	0.9	0.76	0.76	0.91	0.76	0.67	0.77	0.62	0.73	0.43
